Navn;Kodeverdi;Eier;Status;Oppdatert;Versjons ID;Beskrivelse;Gyldig fra;Gyldig til;ID;Mer generelt begrep;Ekstern id
Bremanger;1438;Kartverket;Tilbaketrukket;02.01.2023;1;Bremanger;;31.12.2019 00:00:00;https://register.geonorge.no/sosi-kodelister/inndelinger/inndelingsbase/kommunenummer/1438;;
Bremanger;4648;Kartverket;Gyldig;02.01.2023;1;Bremanger;01.01.2020 00:00:00;;https://register.geonorge.no/sosi-kodelister/inndelinger/inndelingsbase/kommunenummer/4648;;
Brunlanes;0726;Kartverket;Tilbaketrukket;02.01.2023;1;Brunlanes;;;https://register.geonorge.no/sosi-kodelister/inndelinger/inndelingsbase/kommunenummer/0726;;
Brønnøy;1813;Kartverket;Gyldig;02.01.2023;1;Brønnøy;;;https://register.geonorge.no/sosi-kodelister/inndelinger/inndelingsbase/kommunenummer/1813;;
Bygland;4220;Kartverket;Gyldig;02.01.2023;1;Bygland;01.01.2020 00:00:00;;https://register.geonorge.no/sosi-kodelister/inndelinger/inndelingsbase/kommunenummer/4220;;
Bygland;0938;Kartverket;Tilbaketrukket;02.01.2023;1;Bygland;;31.12.2019 00:00:00;https://register.geonorge.no/sosi-kodelister/inndelinger/inndelingsbase/kommunenummer/0938;;
Bykle;4222;Kartverket;Gyldig;02.01.2023;1;Bykle;01.01.2020 00:00:00;;https://register.geonorge.no/sosi-kodelister/inndelinger/inndelingsbase/kommunenummer/4222;;
Bykle;0941;Kartverket;Tilbaketrukket;02.01.2023;1;Bykle;;31.12.2019 00:00:00;https://register.geonorge.no/sosi-kodelister/inndelinger/inndelingsbase/kommunenummer/0941;;
Bærum;0219;Kartverket;Tilbaketrukket;02.01.2023;1;Bærum;;31.12.2019 00:00:00;https://register.geonorge.no/sosi-kodelister/inndelinger/inndelingsbase/kommunenummer/0219;;
Bærum;3024;Kartverket;Tilbaketrukket;02.01.2023;1;Bærum;01.01.2020 00:00:00;31.12.2023 00:00:00;https://register.geonorge.no/sosi-kodelister/inndelinger/inndelingsbase/kommunenummer/3024;;
Bærum;3201;Kartverket;Gyldig;02.01.2023;1;Bærum;01.01.2024 00:00:00;;https://register.geonorge.no/sosi-kodelister/inndelinger/inndelingsbase/kommunenummer/3201;;
Bø i Nordland;1867;Kartverket;Gyldig;02.01.2023;1;Bø i Nordland;;;https://register.geonorge.no/sosi-kodelister/inndelinger/inndelingsbase/kommunenummer/1867;;
Bø i Telemark;0821;Kartverket;Tilbaketrukket;02.01.2023;1;Bø i Telemark;;31.12.2019 00:00:00;https://register.geonorge.no/sosi-kodelister/inndelinger/inndelingsbase/kommunenummer/0821;;
Bømlo;1219;Kartverket;Tilbaketrukket;02.01.2023;1;Bømlo;;31.12.2019 00:00:00;https://register.geonorge.no/sosi-kodelister/inndelinger/inndelingsbase/kommunenummer/1219;;
Bømlo;4613;Kartverket;Gyldig;02.01.2023;1;Bømlo;01.01.2020 00:00:00;;https://register.geonorge.no/sosi-kodelister/inndelinger/inndelingsbase/kommunenummer/4613;;
Båtsfjord;5443;Kartverket;Tilbaketrukket;02.01.2023;1;Båtsfjord;01.01.2020 00:00:00;31.12.2023 00:00:00;https://register.geonorge.no/sosi-kodelister/inndelinger/inndelingsbase/kommunenummer/5443;;
Båtsfjord;5632;Kartverket;Gyldig;02.01.2023;1;Båtsfjord;01.01.2024 00:00:00;;https://register.geonorge.no/sosi-kodelister/inndelinger/inndelingsbase/kommunenummer/5632;;
Båtsfjord;2028;Kartverket;Tilbaketrukket;02.01.2023;1;Båtsfjord;;31.12.2019 00:00:00;https://register.geonorge.no/sosi-kodelister/inndelinger/inndelingsbase/kommunenummer/2028;;
Deatnu - Tana;5628;Kartverket;Gyldig;02.01.2023;1;Deatnu - Tana;01.01.2024 00:00:00;;https://register.geonorge.no/sosi-kodelister/inndelinger/inndelingsbase/kommunenummer/5628;;
Deatnu – Tana;2025;Kartverket;Tilbaketrukket;02.01.2023;1;Deatnu – Tana;;31.12.2019 00:00:00;https://register.geonorge.no/sosi-kodelister/inndelinger/inndelingsbase/kommunenummer/2025;;
Deatnu – Tana;5441;Kartverket;Tilbaketrukket;02.01.2023;1;Deatnu – Tana;01.01.2020 00:00:00;31.12.2023 00:00:00;https://register.geonorge.no/sosi-kodelister/inndelinger/inndelingsbase/kommunenummer/5441;;
Degernes;0129;Kartverket;Tilbaketrukket;02.01.2023;1;Degernes;;31.12.1963 00:00:00;https://register.geonorge.no/sosi-kodelister/inndelinger/inndelingsbase/kommunenummer/0129;;
Divtasvuodna – Tysfjord;1850;Kartverket;Tilbaketrukket;02.01.2023;1;Divtasvuodna – Tysfjord;;31.12.2019 00:00:00;https://register.geonorge.no/sosi-kodelister/inndelinger/inndelingsbase/kommunenummer/1850;;
Dovre;3431;Kartverket;Gyldig;02.01.2023;1;Dovre;01.01.2020 00:00:00;;https://register.geonorge.no/sosi-kodelister/inndelinger/inndelingsbase/kommunenummer/3431;;
Dovre;0511;Kartverket;Tilbaketrukket;02.01.2023;1;Dovre;;31.12.2019 00:00:00;https://register.geonorge.no/sosi-kodelister/inndelinger/inndelingsbase/kommunenummer/0511;;
Drammen;0602;Kartverket;Tilbaketrukket;02.01.2023;1;Drammen;;31.12.2019 00:00:00;https://register.geonorge.no/sosi-kodelister/inndelinger/inndelingsbase/kommunenummer/0602;;
Drammen;3005;Kartverket;Tilbaketrukket;02.01.2023;1;Drammen;01.01.2020 00:00:00;31.12.2023 00:00:00;https://register.geonorge.no/sosi-kodelister/inndelinger/inndelingsbase/kommunenummer/3005;;
Drammen;3301;Kartverket;Gyldig;02.01.2023;1;Drammen;01.01.2024 00:00:00;;https://register.geonorge.no/sosi-kodelister/inndelinger/inndelingsbase/kommunenummer/3301;;
Drangedal;3815;Kartverket;Tilbaketrukket;02.01.2023;1;Drangedal;01.01.2020 00:00:00;31.12.2023 00:00:00;https://register.geonorge.no/sosi-kodelister/inndelinger/inndelingsbase/kommunenummer/3815;;
Drangedal;4016;Kartverket;Gyldig;02.01.2023;1;Drangedal;01.01.2024 00:00:00;;https://register.geonorge.no/sosi-kodelister/inndelinger/inndelingsbase/kommunenummer/4016;;
Drangedal;0817;Kartverket;Tilbaketrukket;02.01.2023;1;Drangedal;;31.12.2019 00:00:00;https://register.geonorge.no/sosi-kodelister/inndelinger/inndelingsbase/kommunenummer/0817;;
Dyrøy;5420;Kartverket;Tilbaketrukket;02.01.2023;1;Dyrøy;01.01.2020 00:00:00;31.12.2023 00:00:00;https://register.geonorge.no/sosi-kodelister/inndelinger/inndelingsbase/kommunenummer/5420;;
Dyrøy;5528;Kartverket;Gyldig;02.01.2023;1;Dyrøy;01.01.2024 00:00:00;;https://register.geonorge.no/sosi-kodelister/inndelinger/inndelingsbase/kommunenummer/5528;;
Dyrøy;1926;Kartverket;Tilbaketrukket;02.01.2023;1;Dyrøy;;31.12.2019 00:00:00;https://register.geonorge.no/sosi-kodelister/inndelinger/inndelingsbase/kommunenummer/1926;;
Dønna;1827;Kartverket;Gyldig;02.01.2023;1;Dønna;;;https://register.geonorge.no/sosi-kodelister/inndelinger/inndelingsbase/kommunenummer/1827;;
Eid;1443;Kartverket;Tilbaketrukket;02.01.2023;1;Eid;;31.12.2019 00:00:00;https://register.geonorge.no/sosi-kodelister/inndelinger/inndelingsbase/kommunenummer/1443;;
